epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,20893,0.62482,0.34632,0.92816,0.99007,0.98288,0.99377,0.91238,0.47283,0.20416,0.83478,0.0068518,0.0068518,0.0068518
161,21021.2,0.62703,0.34717,0.92796,0.98974,0.98287,0.99378,0.9126,0.47275,0.20367,0.83474,0.006832,0.006832,0.006832
162,21151.2,0.62496,0.34649,0.93146,0.98968,0.98288,0.99389,0.91245,0.47244,0.20341,0.83468,0.0068122,0.0068122,0.0068122
163,21279.6,0.62046,0.34597,0.92492,0.98957,0.98319,0.994,0.91283,0.47239,0.20323,0.83455,0.0067924,0.0067924,0.0067924
164,21407.9,0.62111,0.34384,0.92649,0.98945,0.98377,0.99405,0.91256,0.47243,0.20296,0.83445,0.0067726,0.0067726,0.0067726
165,21538,0.61989,0.34243,0.92694,0.98983,0.98307,0.99409,0.91245,0.47219,0.20254,0.83441,0.0067528,0.0067528,0.0067528
166,21666.2,0.62539,0.34833,0.93091,0.98983,0.98232,0.99406,0.91258,0.4722,0.20249,0.83444,0.006733,0.006733,0.006733
167,21796.5,0.61969,0.34306,0.92684,0.98877,0.98398,0.99405,0.91235,0.47202,0.2027,0.83442,0.0067132,0.0067132,0.0067132
168,21925.6,0.61916,0.34243,0.92663,0.98994,0.98268,0.99402,0.91238,0.47189,0.20282,0.83443,0.0066934,0.0066934,0.0066934
169,22054.2,0.61777,0.33989,0.92269,0.98859,0.98377,0.99401,0.91235,0.47186,0.20258,0.8343,0.0066736,0.0066736,0.0066736
170,22184.3,0.61692,0.34204,0.92402,0.98906,0.98409,0.99401,0.91225,0.47191,0.20241,0.83433,0.0066538,0.0066538,0.0066538
171,22313.3,0.62007,0.3421,0.92526,0.98931,0.98391,0.99406,0.91218,0.47173,0.20209,0.83418,0.006634,0.006634,0.006634
172,22441.8,0.61811,0.33922,0.9231,0.99034,0.98332,0.99408,0.91229,0.47163,0.20207,0.83407,0.0066142,0.0066142,0.0066142
173,22571.7,0.61892,0.34241,0.9225,0.98972,0.98414,0.99407,0.91256,0.47151,0.20161,0.83388,0.0065944,0.0065944,0.0065944
174,22700.4,0.61553,0.34193,0.92299,0.98934,0.98422,0.99408,0.9129,0.47155,0.20142,0.83391,0.0065746,0.0065746,0.0065746
175,22828.3,0.61804,0.34028,0.92429,0.98905,0.98483,0.99406,0.91281,0.47133,0.20125,0.8337,0.0065548,0.0065548,0.0065548
176,22958.7,0.61794,0.34179,0.92398,0.98125,0.99301,0.99406,0.91282,0.47122,0.20087,0.83362,0.006535,0.006535,0.006535
177,23086.9,0.61793,0.33916,0.92916,0.98108,0.99333,0.99406,0.91284,0.47115,0.2007,0.83376,0.0065152,0.0065152,0.0065152
178,23216.6,0.61687,0.34108,0.92578,0.98108,0.99339,0.99408,0.91362,0.47091,0.20073,0.83381,0.0064954,0.0064954,0.0064954
179,23345.9,0.61749,0.34053,0.92521,0.98139,0.9932,0.99412,0.91359,0.47078,0.20076,0.83378,0.0064756,0.0064756,0.0064756
180,23474.3,0.61803,0.33777,0.92516,0.98113,0.99298,0.99412,0.9138,0.47052,0.20095,0.83376,0.0064558,0.0064558,0.0064558
